cfrid,year,month,scode_biom,sgroup_biom,sname_biom,totalweight_biom,timekey1,timekey2,timekey3
"1. Ang Chork",2015,2,12,3,"Cyclocheilichthys lagleri",773.2,10,10,
"1. Ang Chork",2015,2,15,4,"Barbonymus gonionotus",457.24,10,10,
"1. Ang Chork",2015,2,16,5,"Puntius brevis",4.3,10,10,
"1. Ang Chork",2015,2,17,5,"Puntius sp. (cf. masyai)",1393.1,10,10,
"1. Ang Chork",2015,2,18,5,"Puntius aurotaeniatus",1.2,10,10,
"1. Ang Chork",2015,2,21,6,"Labiobarbus leptocheilus",226.8,10,10,
"1. Ang Chork",2015,2,24,9,"Esomus metallicus",130.3,10,10,
"1. Ang Chork",2015,2,29,9,"Rasbora aurotaenia",4.2,10,10,
"1. Ang Chork",2015,2,37,11,"Puntioplites proctozystron",271,10,10,
"1. Ang Chork",2015,2,38,12,"Anabas testudineus",35.1,10,10,
"1. Ang Chork",2015,2,40,13,"Clarias batrachus",67.7,10,10,
"1. Ang Chork",2015,2,43,14,"Channa striata",130.5,10,10,
"1. Ang Chork",2015,2,47,15,"Pristolepis fasciata",20.3,10,10,
"1. Ang Chork",2015,2,50,16,"Parambassis siamensis",479.9999999999999,10,10,
"1. Ang Chork",2015,2,52,17,"Trichogaster microlepis",65,10,10,
"1. Ang Chork",2015,2,53,17,"Trichopodus trichopterus",22.4,10,10,
"1. Ang Chork",2015,2,58,18,"Trichopsis vittata",1.1,10,10,
"1. Ang Chork",2015,2,59,19,"Notopterus notopterus",288.5,10,10,
"1. Ang Chork",2015,2,63,21,"Xenentodon cancila",38.3,10,10,
"1. Ang Chork",2015,2,65,22,"Kryptopterus dissitus",57.50000000000001,10,10,
"1. Ang Chork",2015,2,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",612.6,10,10,
"1. Ang Chork",2015,2,99,34,"Puntius orphoides",38.3,10,10,
"1. Ang Chork",2015,2,102,34,"Osteochilus vittatus/lini/hasselti",92.90000000000001,10,10,
"1. Ang Chork",2015,2,134,49,"Phalacronotus bleekeri",62.9,10,10,
"1. Ang Chork",2015,2,156,0,"Crossocheilus reticulatus",28.9,10,10,
"1. Ang Chork",2015,5,1,1,"Mystus albolineatus",10.5,11,11,7
"1. Ang Chork",2015,5,4,1,"Mystus mysticetus",28.8,11,11,7
"1. Ang Chork",2015,5,8,2,"Hemibagrus spilopterus/nemurus",52.9,11,11,7
"1. Ang Chork",2015,5,12,3,"Cyclocheilichthys lagleri",748.0999999999999,11,11,7
"1. Ang Chork",2015,5,15,4,"Barbonymus gonionotus",361.5,11,11,7
"1. Ang Chork",2015,5,16,5,"Puntius brevis",966,11,11,7
"1. Ang Chork",2015,5,17,5,"Puntius sp. (cf. masyai)",68.59999999999999,11,11,7
"1. Ang Chork",2015,5,21,6,"Labiobarbus leptocheilus",274.9,11,11,7
"1. Ang Chork",2015,5,24,9,"Esomus metallicus",16.6,11,11,7
"1. Ang Chork",2015,5,37,11,"Puntioplites proctozystron",19.6,11,11,7
"1. Ang Chork",2015,5,43,14,"Channa striata",536.2,11,11,7
"1. Ang Chork",2015,5,50,16,"Parambassis siamensis",11.7,11,11,7
"1. Ang Chork",2015,5,52,17,"Trichogaster microlepis",103.6,11,11,7
"1. Ang Chork",2015,5,63,21,"Xenentodon cancila",232.5,11,11,7
"1. Ang Chork",2015,5,65,22,"Kryptopterus dissitus",52.59999999999999,11,11,7
"1. Ang Chork",2015,5,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",12.2,11,11,7
"1. Ang Chork",2015,5,68,25,"Macrognathus siamensis",58.7,11,11,7
"1. Ang Chork",2015,5,76,28,"Monopterus albus",84.40000000000001,11,11,7
"1. Ang Chork",2015,5,78,29,"Oxyeleotris marmorata",313.2,11,11,7
"1. Ang Chork",2015,5,156,0,"Crossocheilus reticulatus",2.7,11,11,7
"1. Ang Chork",2015,8,4,1,"Mystus mysticetus",6.1,12,12,
"1. Ang Chork",2015,8,12,3,"Cyclocheilichthys lagleri",119.7,12,12,
"1. Ang Chork",2015,8,21,6,"Labiobarbus leptocheilus",37,12,12,
"1. Ang Chork",2015,8,50,16,"Parambassis siamensis",40.7,12,12,
"1. Ang Chork",2015,8,52,17,"Trichogaster microlepis",24.5,12,12,
"1. Ang Chork",2015,8,65,22,"Kryptopterus dissitus",430.4999999999999,12,12,
"1. Ang Chork",2015,8,68,25,"Macrognathus siamensis",116.8,12,12,
"1. Ang Chork",2015,8,69,25,"Macrognathus semiocellatus",69.40000000000001,12,12,
"1. Ang Chork",2015,11,3,1,"Mystus multiradiatus",13.8,13,13,8
"1. Ang Chork",2015,11,4,1,"Mystus mysticetus",442.4,13,13,8
"1. Ang Chork",2015,11,8,2,"Hemibagrus spilopterus/nemurus",51.7,13,13,8
"1. Ang Chork",2015,11,12,3,"Cyclocheilichthys lagleri",102.4,13,13,8
"1. Ang Chork",2015,11,15,4,"Barbonymus gonionotus",73.7,13,13,8
"1. Ang Chork",2015,11,16,5,"Puntius brevis",1.6,13,13,8
"1. Ang Chork",2015,11,17,5,"Puntius sp. (cf. masyai)",8.699999999999999,13,13,8
"1. Ang Chork",2015,11,21,6,"Labiobarbus leptocheilus",225.1,13,13,8
"1. Ang Chork",2015,11,22,8,"Henicorhynchus siamensis",19.1,13,13,8
"1. Ang Chork",2015,11,24,9,"Esomus metallicus",9.4,13,13,8
"1. Ang Chork",2015,11,29,9,"Rasbora aurotaenia",11.4,13,13,8
"1. Ang Chork",2015,11,37,11,"Puntioplites proctozystron",19.8,13,13,8
"1. Ang Chork",2015,11,38,12,"Anabas testudineus",4.5,13,13,8
"1. Ang Chork",2015,11,43,14,"Channa striata",78.2,13,13,8
"1. Ang Chork",2015,11,50,16,"Parambassis siamensis",172.4,13,13,8
"1. Ang Chork",2015,11,52,17,"Trichogaster microlepis",28.7,13,13,8
"1. Ang Chork",2015,11,55,9,"Lobocheilos melanotaenia",.8,13,13,8
"1. Ang Chork",2015,11,59,19,"Notopterus notopterus",30.8,13,13,8
"1. Ang Chork",2015,11,63,21,"Xenentodon cancila",114.6,13,13,8
"1. Ang Chork",2015,11,65,22,"Kryptopterus dissitus",18.7,13,13,8
"1. Ang Chork",2015,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",125.6,13,13,8
"1. Ang Chork",2015,11,68,25,"Macrognathus siamensis",39.5,13,13,8
"1. Ang Chork",2015,11,78,29,"Oxyeleotris marmorata",419.4,13,13,8
"1. Ang Chork",2015,11,84,32,"Syncrossus helodes",.5,13,13,8
"1. Ang Chork",2015,11,108,38,"Paralaubuca typus",19.2,13,13,8
"1. Ang Chork",2015,11,134,49,"Phalacronotus bleekeri",48.7,13,13,8
"1. Ang Chork",2015,11,137,43,"Monotrete cochinchinensis",2.4,13,13,8
"2. Anlous Dong",2012,11,4,1,"Mystus mysticetus",65,1,1,1
"2. Anlous Dong",2012,11,9,3,"Anematichthys/Cyclocheilichthys apogon",82,1,1,1
"2. Anlous Dong",2012,11,10,3,"Anematichthys repasson",4,1,1,1
"2. Anlous Dong",2012,11,12,3,"Cyclocheilichthys lagleri",4,1,1,1
"2. Anlous Dong",2012,11,15,4,"Barbonymus gonionotus",14,1,1,1
"2. Anlous Dong",2012,11,16,5,"Puntius brevis",43,1,1,1
"2. Anlous Dong",2012,11,17,5,"Puntius sp. (cf. masyai)",135,1,1,1
"2. Anlous Dong",2012,11,24,9,"Esomus metallicus",19,1,1,1
"2. Anlous Dong",2012,11,25,9,"Esomus longimanus",18,1,1,1
"2. Anlous Dong",2012,11,27,9,"Amblypharyngodon chulabhornae",24,1,1,1
"2. Anlous Dong",2012,11,28,9,"Rasbora daniconius",3,1,1,1
"2. Anlous Dong",2012,11,38,12,"Anabas testudineus",16,1,1,1
"2. Anlous Dong",2012,11,40,13,"Clarias batrachus",97,1,1,1
"2. Anlous Dong",2012,11,43,14,"Channa striata",71,1,1,1
"2. Anlous Dong",2012,11,50,16,"Parambassis siamensis",96,1,1,1
"2. Anlous Dong",2012,11,52,17,"Trichogaster microlepis",31,1,1,1
"2. Anlous Dong",2012,11,53,17,"Trichopodus trichopterus",12,1,1,1
"2. Anlous Dong",2012,11,63,21,"Xenentodon cancila",6.2,1,1,1
"2. Anlous Dong",2012,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",49,1,1,1
"2. Anlous Dong",2012,11,68,25,"Macrognathus siamensis",26.5,1,1,1
"2. Anlous Dong",2012,11,112,41,"Oreochromis niloticus",789,1,1,1
"2. Anlous Dong",2013,2,4,1,"Mystus mysticetus",30.1,2,2,
"2. Anlous Dong",2013,2,9,3,"Anematichthys/Cyclocheilichthys apogon",152.7,2,2,
"2. Anlous Dong",2013,2,12,3,"Cyclocheilichthys lagleri",10.2,2,2,
"2. Anlous Dong",2013,2,17,5,"Puntius sp. (cf. masyai)",367.8,2,2,
"2. Anlous Dong",2013,2,21,6,"Labiobarbus leptocheilus",87.40000000000001,2,2,
"2. Anlous Dong",2013,2,22,8,"Henicorhynchus siamensis",5.4,2,2,
"2. Anlous Dong",2013,2,24,9,"Esomus metallicus",3.9,2,2,
"2. Anlous Dong",2013,2,38,12,"Anabas testudineus",60.5,2,2,
"2. Anlous Dong",2013,2,40,13,"Clarias batrachus",64.90000000000001,2,2,
"2. Anlous Dong",2013,2,43,14,"Channa striata",538,2,2,
"2. Anlous Dong",2013,2,47,15,"Pristolepis fasciata",65.7,2,2,
"2. Anlous Dong",2013,2,49,16,"Parambassis wolffii",328.1000000000001,2,2,
"2. Anlous Dong",2013,2,52,17,"Trichogaster microlepis",107.5,2,2,
"2. Anlous Dong",2013,2,53,17,"Trichopodus trichopterus",4.1,2,2,
"2. Anlous Dong",2013,2,59,19,"Notopterus notopterus",442.3,2,2,
"2. Anlous Dong",2013,2,63,21,"Xenentodon cancila",64.3,2,2,
"2. Anlous Dong",2013,2,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",6.4,2,2,
"2. Anlous Dong",2013,2,68,25,"Macrognathus siamensis",35.9,2,2,
"2. Anlous Dong",2013,2,108,38,"Paralaubuca typus",1,2,2,
"2. Anlous Dong",2013,5,4,1,"Mystus mysticetus",19.8,3,3,2
"2. Anlous Dong",2013,5,5,1,"Mystus atrifasciatus",3.3,3,3,2
"2. Anlous Dong",2013,5,9,3,"Anematichthys/Cyclocheilichthys apogon",79.59999999999999,3,3,2
"2. Anlous Dong",2013,5,12,3,"Cyclocheilichthys lagleri",47.5,3,3,2
"2. Anlous Dong",2013,5,16,5,"Puntius brevis",203.9,3,3,2
"2. Anlous Dong",2013,5,17,5,"Puntius sp. (cf. masyai)",413.1,3,3,2
"2. Anlous Dong",2013,5,21,6,"Labiobarbus leptocheilus",5.4,3,3,2
"2. Anlous Dong",2013,5,38,12,"Anabas testudineus",48.3,3,3,2
"2. Anlous Dong",2013,5,43,14,"Channa striata",163.8,3,3,2
"2. Anlous Dong",2013,5,47,15,"Pristolepis fasciata",4.9,3,3,2
"2. Anlous Dong",2013,5,49,16,"Parambassis wolffii",231.7,3,3,2
"2. Anlous Dong",2013,5,63,21,"Xenentodon cancila",17.4,3,3,2
"2. Anlous Dong",2013,5,69,25,"Macrognathus semiocellatus",32.6,3,3,2
"2. Anlous Dong",2013,5,108,38,"Paralaubuca typus",19.6,3,3,2
"2. Anlous Dong",2013,8,1,1,"Mystus albolineatus",19.8,4,4,3
"2. Anlous Dong",2013,8,4,1,"Mystus mysticetus",49.3,4,4,3
"2. Anlous Dong",2013,8,9,3,"Anematichthys/Cyclocheilichthys apogon",5,4,4,3
"2. Anlous Dong",2013,8,12,3,"Cyclocheilichthys lagleri",74.39999999999999,4,4,3
"2. Anlous Dong",2013,8,16,5,"Puntius brevis",793.9000000000001,4,4,3
"2. Anlous Dong",2013,8,21,6,"Labiobarbus leptocheilus",38.1,4,4,3
"2. Anlous Dong",2013,8,22,8,"Henicorhynchus siamensis",1.9,4,4,3
"2. Anlous Dong",2013,8,24,9,"Esomus metallicus",10.5,4,4,3
"2. Anlous Dong",2013,8,38,12,"Anabas testudineus",7.8,4,4,3
"2. Anlous Dong",2013,8,43,14,"Channa striata",79.8,4,4,3
"2. Anlous Dong",2013,8,49,16,"Parambassis wolffii",317.1,4,4,3
