hhid,year,hhsize,depshare,maxeduc,index1,index2,buff,chicken,cow,duck,pig,incwage,incfish,incfarm,incskill,land,flood,floodmonths
45,2012,6,.16666667,7,-1.3540927,1.3632056,0,1,1,1,0,0,0,1,0,2,2,1
45,2015,5,.2,7,1.7312807,.29192066,0,1,1,1,0,0,0,1,0,7.6599998,7.5,1
46,2012,4,.25,7,-2.3313529,-.87217236,0,1,0,0,0,0,0,1,0,1.5,1.5,1
47,2012,11,.090909094,9,-.20111838,3.4121919,0,1,1,1,0,0,0,1,0,6.4000001,3,1.3333334
47,2015,7,.14285715,8,.96193039,.79441649,0,1,1,1,0,1,0,0,0,1.35,1,1.6666666
48,2012,7,.14285715,4,-.20111838,-.58005595,0,1,1,1,0,0,0,1,0,1,1,1
48,2015,7,.14285715,7,-.20111838,-1.901081,0,0,0,0,0,1,0,0,0,1.238,1,1.3333334
49,2012,5,.2,7,-.58474231,.24994099,0,1,0,1,0,0,0,1,0,2.085,2,1
49,2015,5,.2,7,1.7312807,-1.7501622,0,0,1,0,0,0,0,1,0,2,2,1
50,2012,9,.11111111,11,-.20111838,-.44789839,0,1,1,1,0,0,0,1,0,1.7,1.5,.66666669
50,2015,6,0,11,.89534432,-1.976361,0,0,0,0,0,1,0,0,0,2.05,2,.33333334
51,2012,4,.25,6,.96193039,2.0827973,0,1,1,1,1,0,0,1,0,1.6799999,1.5,1.3333334
51,2015,4,.25,6,1.7312807,-1.8542335,0,1,1,0,0,1,0,0,0,3,3,1.6666666
52,2012,4,.25,9,.96193039,.84506375,0,0,0,0,1,0,0,1,0,10.1,10,1
53,2012,9,.11111111,10,-.58474231,-.86714971,0,1,1,1,0,0,0,1,0,0,0,0
53,2015,11,.090909094,12,-.58474231,-2.0351241,0,1,1,0,0,0,0,0,1,0,0,0
54,2012,4,.25,9,.57830644,.92455143,0,1,1,0,0,0,0,1,0,1.5,1,.66666669
54,2015,4,.25,9,.57830644,-2.0351241,0,0,0,0,0,0,0,0,1,1,1,1
55,2012,4,.25,9,1.7312807,-.60008377,0,1,0,0,1,0,0,0,0,0,0,0
55,2015,6,.16666667,6,1.7312807,-1.7739698,0,1,0,1,1,0,0,1,0,.02,0,0
56,2012,5,.2,6,-.58474231,-1.2451949,0,1,1,1,0,0,0,1,0,1,1,.66666669
56,2015,5,.2,8,.57830644,-1.963449,0,1,1,0,0,0,0,0,1,1.002,1,1
57,2012,8,.125,11,1.7312807,.63561291,0,1,1,1,0,0,0,1,0,4.5,4.5,1
58,2012,3,.33333334,7,-1.3540927,.40409681,0,1,1,1,0,0,0,1,0,2.6800001,2.5,1
58,2015,3,.33333334,4,-.25762996,-2.2831898,0,0,0,0,0,0,0,1,0,2.8150001,2.5,1
59,2012,8,.125,7,-.26770446,.39830792,0,1,1,0,0,0,1,0,0,0,0,0
59,2015,5,.2,4,1.6646947,.35570702,0,1,0,0,0,0,0,1,0,.0049999999,0,0
60,2012,6,.16666667,7,1.7312807,-.65491331,0,1,1,0,0,0,0,1,0,2.5875001,2.5,1
60,2015,2,0,6,.96193039,-2.2689648,0,1,1,1,0,0,0,1,0,.64300001,.63999999,.66666669
61,2012,4,.25,6,.57830644,2.1065884,0,1,0,0,1,0,0,1,0,4.1500001,2,1
61,2015,4,.25,7,.57830644,-1.4444077,0,1,1,0,0,0,0,1,0,2.003,2,1
62,2012,6,.16666667,10,-.40902832,1.5439303,0,1,0,1,0,0,0,1,0,3.8399999,2,.66666669
62,2015,5,.2,11,-.20111838,-.3265605,0,1,1,0,0,0,0,0,1,6.3099999,6,1.6666666
63,2012,3,0,12,-.47561437,-1.9665984,0,1,0,0,0,1,0,0,0,0,0,0
63,2015,3,0,12,-.20111838,-2.7246721,0,1,0,0,0,1,0,0,0,0,0,0
64,2012,6,.16666667,7,.96193039,.1660074,0,1,1,1,0,0,0,1,0,1.16,1,.66666669
64,2015,5,.2,10,1.7312807,-2.0539649,0,1,0,1,0,0,0,0,0,1.05,1,.66666669
65,2012,5,.2,4,-.19104391,-1.6033925,0,1,1,0,0,0,0,1,0,.16,0,0
65,2015,6,.16666667,5,-.19104391,-1.9734623,0,0,1,0,0,0,0,0,1,.31999999,.31999999,2
66,2012,3,.33333334,6,.26199701,-1.0794562,0,1,1,0,0,1,0,0,0,.079999998,0,0
66,2015,5,.2,6,-2.3313529,-1.8288966,0,1,1,0,0,0,0,0,1,.31999999,.23999999,1.6666666
67,2012,5,.2,3,-2.3313529,.38797253,0,1,1,0,0,0,0,0,1,0,0,0
67,2015,5,.2,4,-1.3540927,-1.0648208,0,1,1,0,0,1,0,0,0,.079999998,0,0
68,2012,6,.16666667,9,-1.3540927,1.8293698,0,1,1,0,0,0,0,1,0,.88,.80000001,1.3333334
68,2015,6,.16666667,12,.96193039,-1.0881717,0,1,1,0,1,0,0,1,0,.63999999,.47999999,1.6666666
69,2012,3,.33333334,5,-.58474231,-1.2325354,0,1,1,0,0,0,0,0,1,.003,0,0
69,2015,4,.25,5,-1.3540927,-2.0361731,0,0,1,0,0,1,0,0,0,0,0,0
70,2012,5,.2,11,-.20111838,-1.7187065,0,1,1,0,1,0,0,1,0,.17,.16,1.3333334
70,2015,5,.2,8,.96193039,-1.4209325,0,1,1,0,0,0,0,1,0,.22999999,.16,1
71,2012,8,.125,9,-.20111838,3.4887147,0,1,1,0,1,0,0,1,0,1.04,1.04,4.3333335
71,2015,4,.25,7,1.4149714,.50723618,0,1,1,0,0,0,0,1,0,2.1199999,1,1
