"","scode_biom","sname_biom","scode","scode_ccm","sname_ccm","sname_traits"
"116",128,"Thynnichthys thynnoides",128,128,"Thynnichthys thynnoides","Thynnichthys thynnoides"
"117",52,"Trichogaster microlepis",52,52,"Trichogaster microlepis","Trichopodus microlepis"
"118",51,"Trichopodus pectoralis",51,51,"Trichopodus pectoralis","Trichopodus pectoralis"
"119",53,"Trichopodus trichopterus",53,53,"Trichopodus trichopterus","Trichopodus trichopterus"
"120",57,"Trichopsis pumila",57,57,"Trichopsis pumila","Trichopsis pumila"
"121",56,"Trichopsis schalleri",56,56,"Trichopsis schalleri","Trichopsis schalleri"
"122",58,"Trichopsis vittata",58,58,"Trichopsis vittata","Trichopsis vittata"
"123",30,"Rasbora pauciperforata/Trigonopoma pauciperforatum",30,30,"Rasbora pauciperforata/Trigonopoma pauciperforatum","Trigonopoma pauciperforatum"
"124",NA,NA,152,152,"Tuberoschistura cambodgiensis","Tuberoschistura cambodgiensis"
"125",149,"Wallago attu",149,149,"Wallago attu","Wallago attu"
"126",63,"Xenentodon cancila",63,63,"Xenentodon cancila","Xenentodon cancila"
"127",82,"Yasuhikotakia lecontei",82,82,"Yasuhikotakia lecontei","Yasuhikotakia lecontei"
"128",85,"Yasuhikotakia modesta",85,85,"Yasuhikotakia modesta","Yasuhikotakia modesta"
"129",81,"Yasuhikotakia morleti",81,81,"Yasuhikotakia morleti","Yasuhikotakia morleti"
