"","hhid","h_catch","d1_catch","d2_catch","h_cons","d1_cons","d2_cons","h_sold","d1_sold","d2_sold"
"46",62,1.8568008828578,0.778930821016805,4.52347090896835,1.81536640506443,0.761537388438629,4.19352951581107,0,0,1
"47",64,1.92969172330593,0.822171304346808,5.62338938789856,1.86816509652461,0.822583750599675,5.63646229350494,0,1,Inf
"48",67,2.91380794489431,0.916545683816224,11.9826037253471,2.97526252435054,0.926296858055813,13.5679426089768,2.09775710754864,0.868722572800022,7.61745580583842
"49",68,1.29713402758889,0.66375000130625,2.97397770672047,1.46373597227376,0.738560800711883,3.82498111500853,0,1,Inf
"50",69,2.50773072680098,0.870152401895606,7.7013361402036,2.64720691398814,0.903061823496281,10.3158532176602,1.23647954800083,0.678203875447831,3.10755762329848
"51",70,2.40676741677831,0.882214418363063,8.49000349705286,2.57474997869374,0.906451443111799,10.6896357705987,0,1,Inf
"52",71,2.16332493224083,0.74082963077288,3.85846577670948,2.41016180691332,0.848500879181467,6.60069837103417,1.33172218261539,0.59661949166332,2.47904888643096
"53",72,1.54652333229251,0.672613456715422,3.05449329091929,2.08048312036571,0.825452719665496,5.72910673877926,0.791085532387507,0.445384272597988,1.80305020321783
"54",73,1.9002370953109,0.783036955393437,4.60907986340892,1.88226693207485,0.803148825377818,5.07997984731008,1.77354722740701,0.76102634255663,4.18456164038486
"55",74,2.57271770541953,0.906674000959277,10.7151277273083,2.33930875208781,0.878220550327699,8.21156609502608,1.37208419437034,0.743305783296769,3.8956857417482
"56",75,1.98602960494,0.787505373197193,4.70600134716813,1.59180153515408,0.743952935584729,3.90553198601858,1.23877566115578,0.553918608863664,2.24174336762317
"57",79,1.73852931735113,0.772029710448095,4.38653651739262,1.80954819597095,0.787377144957428,4.70316325965888,0,1,Inf
"58",83,1.78398943718786,0.715725972869511,3.51773255578138,2.03037309804085,0.820345999376555,5.56625511555404,0,0,1
"59",84,1.44077576843586,0.652723011369566,2.87954581714075,1.61280438128364,0.729167146412551,3.69231423276021,0.757790938519896,0.383416217887603,1.62183960884283
"60",85,1.44676450136848,0.692958058336844,3.25688404191067,1.48637488830372,0.7007738433882,3.34195382958231,0,1,Inf
"61",86,0.804771708620789,0.445280071848128,1.80271151125153,0.911281508325801,0.526573824960286,2.11226174791902,0,0,1
"62",87,1.23841439740527,0.568975950533165,2.32005615750901,1.21176236808214,0.563693878123118,2.29196875739044,0,0,1
"63",88,1.26992479805138,0.603314962641667,2.52089165414294,1.52691098964839,0.748864047824898,3.98190697643626,0.942638708039273,0.457404835901166,1.84299467847423
"64",89,1.10456124316281,0.582830691208006,2.39710826977114,1.39299741598273,0.661305055679705,2.95250937981031,0,0,1
