"","hhid","rda_hh_catch","minbio_hh_catch_all","rda_hh_cons","minbio_hh_cons_all","rda_hh_sold","minbio_hh_sold_all"
"49",68,2,327.853349851974,2,359.518250564782,0,Inf
"50",69,3,195.316214133211,4,194.825630907239,2,187.785244055879
"51",70,5,176.56820566948,5,161.231439170676,0,Inf
"52",71,3,196.117624439665,3,238.098091139976,5,217.977849004701
"53",72,4,190.002667333324,2,226.61351904518,5,206.199329330795
"54",73,3,313.707730624487,3,249.610424353639,3,331.832425419062
"55",74,3,198.620193955507,4,178.225780020854,5,117.543058141281
"56",75,6,149.521801622518,5,185.875055600693,6,168.587598248309
"57",79,3,256.560421153621,3,243.024711591834,0,Inf
"58",83,3,267.843077205753,3,197.091774074235,2,958.523482809675
"59",84,3,250.464081553743,2,229.53781058415,2,419.319920854637
"60",85,2,297.712746926058,2,277.143093728261,0,Inf
"61",86,2,501.481652954096,2,447.010444597007,2,829.67032967033
"62",87,2,377.581720240628,2,335.013063175688,2,829.67032967033
"63",88,2,330.753198080177,2,237.59247072522,2,376.57352711254
"64",89,2,284.161269378444,3,208.342540227781,2,829.67032967033
"65",93,2,207.727749496253,3,189.196309141298,2,234.60076799207
"66",94,2,481.1892646253,2,360.454374628759,2,862.325558399095
"67",96,2,502.991261371334,2,344.456887147601,2,848.706874797821
"68",97,2,333.773213318064,3,272.363698319714,0,Inf
"69",98,4,254.91315903513,3,249.479439640728,0,Inf
"70",99,3,273.94095378994,4,204.33392137601,2,829.67032967033
"71",101,2,245.819035629149,2,248.337933626041,0,Inf
"72",102,5,272.533224680598,3,252.688225716841,4,382.407464718541
"73",103,5,188.934483542165,5,176.350922522529,5,161.035725573155
"74",106,5,232.512942046774,5,212.796568044499,3,529.121802302525
"75",107,2,419.675718869987,2,386.080344176601,2,919.57373765612
"76",109,5,157.009231151698,5,150.849103465504,4,221.1421709604
"77",110,5,124.046790307923,5,192.522231674024,5,119.462871584022
"78",113,5,174.614734337475,5,166.68102907095,0,Inf
"79",115,5,184.868475170972,5,185.415549848125,0,Inf
"80",116,5,178.655957485475,5,177.925774553543,3,425.985892807859
"81",117,5,186.807814580147,5,186.840776254258,0,Inf
"82",118,4,180.008872720198,5,177.937338070556,2,829.67032967033
"83",119,5,184.773648808792,4,205.938606134859,0,Inf
"84",120,5,154.232674474895,5,164.963696268756,3,179.126086057178
"85",121,5,159.584886038387,5,145.110563109592,6,172.788916958542
"86",122,5,154.713634217701,5,154.568846109382,2,829.67032967033
"87",123,5,174.732602995284,5,169.987155584261,3,189.06891815759
"88",126,5,176.670983160893,5,181.264222542781,3,221.907406683259
"89",129,5,140.711806342113,5,159.75855707126,0,Inf
"90",131,5,184.319281985064,5,181.890643520141,0,Inf
"91",132,5,190.650763288465,5,180.054358729971,3,241.44313736733
"92",133,5,199.757472688349,5,189.083915651005,0,Inf
"93",135,5,211.41819336723,5,194.058248691618,0,Inf
"94",136,5,156.593618968395,5,163.081492269721,0,Inf
"95",137,5,199.7329582117,5,194.183411329743,3,267.650451409114
"96",138,5,173.836913592831,5,174.693258527412,2,189.822108148494
"97",139,5,146.96785424878,5,188.799987333246,5,139.310786704748
"98",141,5,176.712502345614,5,178.578559925154,2,829.67032967033
"99",143,5,174.310390814816,5,173.623951291999,3,267.650451409114
"100",145,4,175.877018532914,4,176.004141616279,0,Inf
"101",147,4,178.32219308523,4,175.490673265189,0,Inf
"102",150,4,182.68557036301,4,177.628108957556,4,585.477702747672
"103",151,4,166.903199046125,4,182.702020043788,0,Inf
"104",155,4,164.136846618708,4,168.219674158559,5,168.950905839636
"105",156,2,202.954649865695,3,204.256122950552,2,267.203437734791
"106",157,4,136.486329063167,4,137.552054393149,0,Inf
"107",158,4,203.767834349706,4,190.302847063404,2,233.846706361399
"108",159,4,187.463295047079,4,176.77180092952,4,208.877826678924
"109",160,4,207.541628202312,5,192.126891889637,4,223.563847550067
"110",161,5,149.597680033246,5,152.769934850802,5,253.353667523513
"111",162,4,167.232723286384,4,168.819379799808,5,104.086305913904
"112",163,4,174.601349688413,4,173.369934968869,3,207.832578225857
"113",165,3,199.624297938054,4,165.546068567244,3,283.640808697826
"114",166,3,212.319460232943,3,193.983374919392,3,253.262421171513
"115",169,4,186.380406292461,4,181.8930881299,3,242.572484688606
"116",170,3,196.920198613907,4,179.147099754166,3,265.037840846684
"117",173,4,176.551076096701,4,169.345195913312,4,193.31525604303
"118",174,3,208.663621522604,3,198.187773913803,3,256.792856016518
"119",176,2,223.371561723321,3,196.126140851479,2,452.095808383234
"120",179,4,168.777518610102,4,177.671032602054,0,Inf
"121",180,4,197.473729783941,4,203.315358204441,3,229.71620839716
