"","hhid","sold","catch","cons","cfr"
"104",230,5.11785545704025e-05,5.19536143191778e-07,4.47106880186997e-06,3.94393583340684e-07
"105",231,1.28310638198386e-05,1.56283135551094e-07,2.31081656338587e-06,3.94393583340684e-07
"106",232,1.01119171366162e-05,1.62847791915364e-07,3.87023647801102e-06,3.94393583340684e-07
"107",233,6.59242004643715e-05,3.07305598454393e-07,2.45763476090128e-06,3.94393583340684e-07
"108",236,3.51170291713342e-05,2.39224031084392e-07,1.90402114476379e-06,3.94393583340684e-07
"109",237,4.96755978997698e-05,5.44389832575961e-07,2.34053741434888e-06,3.94393583340684e-07
"110",238,2.78839702526209e-05,3.19272154947444e-07,5.03640463380585e-06,3.94393583340684e-07
"111",244,1.10303797816382e-05,2.40413238701001e-07,4.75698843217576e-06,3.41314573223641e-07
"112",249,4.71022437146549e-05,4.60006500554226e-07,5.64777548114977e-06,3.41314573223641e-07
"113",253,1.67436718409108e-05,1.30515696233986e-07,1.85768938540046e-06,3.41314573223641e-07
"114",254,4.09701925720168e-06,2.55156059305726e-07,4.19853452600516e-06,3.41314573223641e-07
"115",257,9.89183104906906e-06,1.36852508306693e-07,1.99574751503837e-06,1.03280741469942e-06
"116",258,1.76547103230646e-05,1.60945380161695e-07,1.66853272173989e-06,1.03280741469942e-06
"117",259,3.86967786244125e-05,4.39007971618971e-07,6.15445690813287e-06,1.03280741469942e-06
"118",260,2.3448934536372e-05,1.91277091644545e-07,2.38998458620726e-06,1.03280741469942e-06
"119",262,1.23628706120461e-05,1.51490029037097e-07,3.04751199707204e-06,1.03280741469942e-06
"120",265,2.49926736013842e-05,2.77752539803872e-07,3.86280228683546e-06,1.03280741469942e-06
"121",269,1.86762454566294e-05,2.55923158502878e-07,4.28908956970608e-06,1.03280741469942e-06
"122",271,2.62677787997025e-05,2.03040721486623e-07,2.75187735492251e-06,1.03280741469942e-06
"123",272,2.69869491244524e-05,2.08825332065768e-07,2.42969759591353e-06,1.03280741469942e-06
"124",275,5.86053805134634e-06,9.05395806826905e-08,1.3702732965212e-06,7.16843995741495e-07
"125",276,8.2874459746928e-07,8.93653540975187e-08,1.10166430674892e-06,7.16843995741495e-07
"126",279,7.14642177636162e-06,9.60129015559868e-08,1.07262711079535e-06,7.16843995741495e-07
"127",290,1.12799464567538e-05,7.64325351972914e-08,7.21649208066084e-07,1.28061524791371e-07
"128",292,1.06627457317764e-05,7.43372235651892e-08,1.68945741355034e-06,1.28061524791371e-07
"129",300,1.89809983463583e-05,1.71323314754416e-07,8.5851642510631e-07,1.28061524791371e-07
"130",303,4.31157049590972e-07,5.48243894410294e-08,1.19471503637049e-06,1.28061524791371e-07
"131",304,1.97593426881541e-05,2.10711542674631e-07,2.7413288857732e-06,1.28061524791371e-07
"132",305,7.07613839359244e-07,1.22806532931314e-07,1.79604918886485e-06,1.49156677121901e-07
"133",306,7.68764481166004e-06,4.90210497209113e-08,1.0057487410459e-06,1.49156677121901e-07
"134",313,8.51572590513609e-06,6.7932252570527e-08,9.16462653767326e-07,1.49156677121901e-07
"135",318,2.90445905990318e-06,8.29152427729298e-08,1.40786891600771e-06,1.49156677121901e-07
