"","type","commonness","hhid","cfrid"
"380","catch",1.49809121715821e-07,165,15
"381","catch",2.32504527310253e-07,166,15
"382","catch",2.24556325812743e-07,169,15
"383","catch",1.46076910660322e-07,170,15
"384","catch",3.51298730037878e-07,173,15
"385","catch",1.92707677247259e-07,174,15
"386","catch",4.19892472257091e-07,176,15
"387","catch",1.17260911267903e-07,179,3
"388","catch",2.55249257229131e-07,180,3
"389","catch",1.99030023032486e-07,181,3
"390","catch",1.92712587236244e-07,182,3
"391","catch",8.0023176509474e-08,183,3
"392","catch",2.96998077142516e-07,184,3
"393","catch",2.30139837443836e-07,185,3
"394","catch",1.99336170202508e-07,188,3
"395","catch",1.06010005178437e-07,190,3
"396","catch",2.59874385851997e-07,192,3
"397","catch",3.86253253606718e-08,193,9
"398","catch",4.29720013494908e-08,194,9
"399","catch",1.32779941544172e-07,195,9
"400","catch",1.20357168586809e-07,196,9
"401","catch",4.59894461583596e-08,197,9
"402","catch",5.2250802373347e-08,199,9
"403","catch",1.51438239154752e-07,202,9
"404","catch",1.25957749430518e-07,203,9
"405","catch",9.45322903558278e-08,205,9
"406","catch",1.66274226447873e-07,207,9
"407","catch",1.1187523827231e-07,209,18
"408","catch",1.35618961114306e-07,210,18
"409","catch",3.15502056929527e-07,211,18
"410","catch",1.41292804842712e-07,214,18
"411","catch",1.01674502870456e-07,215,18
"412","catch",1.53709887958295e-07,216,18
"413","catch",4.4650437908006e-07,217,18
"414","catch",2.23644886196235e-07,219,18
"415","catch",3.11556558971654e-07,221,18
"416","catch",1.5100299161779e-07,222,18
"417","catch",2.33495288296216e-07,225,19
"418","catch",1.4892657946345e-07,226,19
"419","catch",3.88103979497944e-07,229,19
"420","catch",5.19536143191778e-07,230,19
"421","catch",1.56283135551094e-07,231,19
"422","catch",1.62847791915364e-07,232,19
"423","catch",3.07305598454393e-07,233,19
"424","catch",2.39224031084392e-07,236,19
"425","catch",5.44389832575961e-07,237,19
"426","catch",3.19272154947444e-07,238,19
"427","catch",5.8367204768927e-08,241,8
"428","catch",2.40413238701001e-07,244,8
"429","catch",1.08131466559679e-07,246,8
"430","catch",7.91469210302674e-08,247,8
"431","catch",7.63562591871133e-08,248,8
"432","catch",4.60006500554226e-07,249,8
"433","catch",7.09241048357599e-08,251,8
"434","catch",3.38912065495792e-07,252,8
"435","catch",1.30515696233986e-07,253,8
"436","catch",2.55156059305726e-07,254,8
"437","catch",1.36852508306693e-07,257,13
"438","catch",1.60945380161695e-07,258,13
"439","catch",4.39007971618971e-07,259,13
"440","catch",1.91277091644545e-07,260,13
"441","catch",1.51490029037097e-07,262,13
"442","catch",2.77752539803872e-07,265,13
"443","catch",1.38231217779953e-07,267,13
"444","catch",2.55923158502878e-07,269,13
"445","catch",2.03040721486623e-07,271,13
"446","catch",2.08825332065768e-07,272,13
"447","catch",9.05395806826905e-08,275,38
"448","catch",8.93653540975187e-08,276,38
"449","catch",1.68393392133702e-08,278,38
"450","catch",9.60129015559868e-08,279,38
"451","catch",1.24445270886439e-08,280,38
"452","catch",5.1275041584836e-08,282,38
"453","catch",4.9281795660898e-08,283,38
"454","catch",2.93316376448215e-08,284,38
"455","catch",6.10560483963041e-08,285,38
"456","catch",2.41219523164679e-08,288,38
"457","catch",2.18019133824809e-08,289,39
"458","catch",7.64325351972914e-08,290,39
"459","catch",1.30055027684975e-08,291,39
"460","catch",7.43372235651892e-08,292,39
"461","catch",4.60285282985009e-08,293,39
"462","catch",3.23224921480631e-08,297,39
"463","catch",1.71323314754416e-07,300,39
"464","catch",8.65527044106164e-09,301,39
"465","catch",5.48243894410294e-08,303,39
"466","catch",2.10711542674631e-07,304,39
"467","catch",1.22806532931314e-07,305,40
"468","catch",4.90210497209113e-08,306,40
"469","catch",8.01842116566343e-08,310,40
"470","catch",4.64676053770979e-08,311,40
"471","catch",3.29196303508132e-08,312,40
"472","catch",6.7932252570527e-08,313,40
"473","catch",3.89224725195564e-08,316,40
"474","catch",8.29152427729297e-08,318,40
"475","catch",7.37315819899977e-08,319,40
"476","catch",8.37021342419355e-08,320,40
"477","catch",2.68430428727583e-07,321,22
"478","catch",1.95031758125513e-07,322,22
"479","catch",2.84519338398568e-07,323,22
"480","catch",3.35342920245602e-08,324,22
"481","catch",5.41149174442351e-08,326,22
"482","catch",1.22008873183599e-07,329,22
"483","catch",1.68900212125802e-07,333,22
"484","catch",2.86656945616568e-07,334,22
"485","catch",1.34302169473148e-07,335,22
"486","catch",1.58183990728708e-07,336,22
"487","catch",3.80399537393456e-07,337,25
"488","catch",9.55616441469799e-08,338,25
"489","catch",1.60735003199115e-08,339,31
"490","catch",2.2904684732837e-08,340,25
"491","catch",1.30916861168398e-07,342,25
"492","catch",4.91967839349856e-07,344,25
"493","catch",9.17700230191084e-08,346,25
"494","catch",2.72619424252711e-08,347,25
"495","catch",6.1124725533258e-08,348,25
"496","catch",6.04464694577496e-08,350,25
"497","catch",1.80447963062532e-07,351,25
"498","catch",3.767884240929e-08,356,36
"499","catch",2.6674993008496e-08,357,36
"500","catch",1.07736654744568e-08,358,36
"501","catch",4.82939002792158e-08,359,36
"502","catch",2.47625956649713e-08,360,36
"503","catch",2.98654967147343e-08,361,36
"504","catch",1.30369386735053e-07,363,36
"505","catch",3.02798534021126e-08,364,36
"506","catch",1.66052941362213e-08,365,36
"507","catch",4.6081250398825e-08,368,36
"508","catch",7.22067241789327e-08,370,37
"509","catch",6.06303522704768e-08,371,37
"510","catch",6.62593447022935e-08,374,37
"511","catch",2.43256763417954e-08,375,37
"512","catch",9.89921708630076e-08,376,37
"513","catch",2.55523592139787e-08,378,37
"514","catch",9.16164515336326e-08,379,37
"515","catch",1.10751480759197e-07,380,37
"516","catch",1.63487893587154e-07,381,37
