Type,Order,Family,Genus,Genus.Species,Closest.Taxa,speciesName,Updated Taxonomy,In Master Database?,Genus in masterbase?,speciescode,SpeciesGroup,Number of them,,Find any papers?,Confirmed/Notes
Fish,Beloniformes,Belonidae,Xenentodon,Xenentodon cancila,Xenentodon cancila,Xenentodon cancila,No,Yes,Yes,63,21,5,,,
Fish,Siluriformes,Siluridae,Micronema,Micronema hexapterus,,Micronema hexapterus,No,No,No,64,22,,,No,
Fish,Siluriformes,Siluridae,Kryptopterus,Kryptopterus dissitus,Kryptopterus limpok,Kryptopterus dissitus,No,No,Yes,65,22,,,,
Fish,Siluriformes,Siluridae,Kryptopterus,Kryptopterus cheveyi,Kryptopterus limpok,Kryptopterus cheveyi,No,No,Yes,66,22,,,,
Fish,Siluriformes,Siluridae,Ompok,Ompok bimaculatus,Ompok bimaculatus,Ompok bimaculatus/Hemisilurus mekongensis,No,Yes,Yes,67,23,2,,,
Fish,Synbranchiformes,Mastacembelidae,Macrognathus,Macrognathus siamensis,Macrognathus siamensis,Macrognathus siamensis,No,Yes,Yes,68,25,1,,,
Fish,Synbranchiformes,Mastacembelidae,Macrognathus,Macrognathus semiocellatus,Macrognathus siamensis,Macrognathus semiocellatus,No,No,Yes,69,25,,,,
Fish,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus armatus,Mastacembelus armatus,Mastacembelus armatus,No,Yes,Yes,70,26,6,,,
Fish,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus favus,Mastacembelus armatus,Mastacembelus favus,No,No,Yes,71,26,,,,
Fish,Cypriniformes,Cobitidae,Acantopsis,Acantopsis spp,,"Acantopsis sp. ""large spot""",,,No,72,27,,,No,
Fish,Cypriniformes,Cobitidae,Acantopsis,Acantopsis thiemmedhi,,Acantopsis thiemmedhi,No,No,No,73,27,,,We have 1 schistura inputted already; Look up schistura,
Fish,Cypriniformes,Cobitidae,Acantopsis,Acantopsis spp,,"Acantopsis sp. ""stripe""",,,No,74,27,,,found 1 with FA for cobitis; Look up cobitis,
Fish,Cypriniformes,Cobitidae,Acantopsis,Acantopsis spp,,Acanthopsoides/Acantopsis spp,,,No,75,27,,,No,
Fish,Synbranchiformes,Synbranchidae,Monopterus,Monopterus albus,Monopterus albus,Monopterus albus,No,Yes,Yes,76,28,7,,,
Fish,Synbranchiformes,Synbranchidae,Ophisternon,Ophisternon bengalense,,Ophisternon bengalense,No,No,No,77,28,,,No ,Eel
Fish,Perciformes,Eleotridae,Oxyeleotris,Oxyeleotris marmorata,Oxyeleotris marmorata,Oxyeleotris marmorata,No,Yes,Yes,78,29,1,,,
Fish,Cypriniformes,Cyprinidae,Hampala,Hampala macrolepidota,Hampala macrolepidota,Hampala macrolepidota,No,No,No,79,30,,,"Yes, 2",
Fish,Cypriniformes,Cobitidae,Pangio,Pangio fusca,Pangio fusca,Pangio fusca,No,No,No,80,31,,,,Look up nutritional composition
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,Yasuhikotakia morleti,,Yasuhikotakia morleti,No,No,No,81,32,,,No,
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,Yasuhikotakia lecontei,,Yasuhikotakia lecontei,No,No,No,82,32,,,Yes? Found 1 for botia,These are everywhere 
Fish,Cypriniformes,Cobitidae,Syncrossus,Syncrossus beauforti,,Syncrossus beauforti,No,No,No,83,32,,,No,
Fish,Cypriniformes,Cobitidae,Syncrossus,Syncrossus helodes,,Syncrossus helodes,No,No,No,84,32,,,No,
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,Yasuhikotakia modesta,,Yasuhikotakia modesta,No,No,No,85,32,,,No,These used to be Botia modesta. Try searching nutritional compositon; aquarium fish
Fish,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,No,Yes,Yes,86,33,11,,,
Fish,Cypriniformes,Cyprinidae,Systomus,Systomus orphoides,Systomus clavatus,Systomus orphoides,No,No,Yes,99,34,,,,
Fish,Cypriniformes,Cyprinidae,Hypsibarbus,Hypsibarbus vernayi,Hypsibarbus myitkyinae,Hypsibarbus vernayi,No,No,Yes,100,4,,,,
Fish,Cypriniformes,Cyprinidae,Poropuntius,Poropuntius normani,,Poropuntius normani,No,No,No,101,34,,,No,
Fish,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus vittatus,Osteochilus vittatus,Osteochilus lini/vittatus,No,Yes,Yes,102,34,3,,,
Fish,Cypriniformes,Cyprinidae,Puntigrus,Puntigrus partipentazona,,Systomus partipentazona,Puntigrus partipentazona,No,No,103,35,,,No,Maye also try Systoma sp.; looks like small aquarium fish
Fish,Cypriniformes,Cyprinidae,Labeo,Labeo chrysophekadion,Labeo spp,Labeo chrysophekadion,No,Yes,Yes,104,36,1,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus melanopleurus,Osteochilus vittatus,Osteochilus melanopleurus,No,Yes,Yes,105,37,1,,,
Fish,Clupeiformes,Clupeidae,Corica,Corica laciniata,Corica soborna,Corica laciniata,No,Yes,Yes,106,10,1,,,
Fish,Cypriniformes,Cyprinidae,Oxygaster,Oxygaster pointoni,,Oxygaster pointoni,No,No,No,107,38,,,No,
Fish,Cypriniformes,Cyprinidae,Paralaubuca,Paralaubuca typus,,Paralaubuca typus,No,No,No,108,38,,,No,
Fish,Cypriniformes,Cyprinidae,Luciosoma,Luciosoma bleekeri,,Luciosoma bleekeri,No,No,Yes,109,39,,,,
Fish,Siluriformes,Siluridae,Ompok,Ompok hypophthalmus,Ompok spp,Ompok hypophthalmus/urbaini,No,No,Yes,110,24,,,,
Fish,Perciformes,Channidae,Channa,Channa micropeltes,Channa micropeltes,Channa micropeltes,No,Yes,Yes,111,40,5,,,
Fish,Perciformes,Cichlidae,Oreochromis,Oreochromis niloticus,Oreochromis niloticus,Oreochromis niloticus,No,Yes,Yes,112,41,112,,,
Fish,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,Hypophthalmichthys molitrix,Hypophthalmichthys molitrix,No,Yes,Yes,113,42,12,,,
Fish,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Cyprinus carpio,Cyprinus carpio carpio,Cyprinus carpio,Yes,Yes,114,42,40,,,
Fish,Clupeiformes,Clupeidae,Clupeichthys,Clupeichthys aesarnensis,,Clupeichthys aesarnensis,No,No,No,126,10,,,No,
Fish,Clupeiformes,Clupeidae,Clupeichthys,Clupeichthys goniognathus,,Clupeichthys goniognathus,No,No,No,127,10,,,No,
Fish,Cypriniformes,Cyprinidae,Thynnichthys,Thynnichthys thynnoides,Thynnichthys thynnoides,Thynnichthys thynnoides,No,Yes,Yes,128,7,2,,,
Fish,Tetraodontiformes,Tetraodontidae,Pao,Pao cambodgiensis,,Tetraodon cambodgiensis,Pao cambodgiensis,No,No,131,43,,,No,Freshwater puffer fish
Fish,Tetraodontiformes,Tetraodontidae,Dichotomyctere,Dichotomyctere ocellatus,,Tetraodon biocellatus,Dichotomyctere ocellatus,No,No,132,43,,,"No, but found one on another freshwater puffer fish species Leiodon cutcutia",Freshwater puffer fish
Fish,Tetraodontiformes,Tetraodontidae,Dichotomyctere,Dichotomyctere fluviatilis,,Tetraodon fluviatilis,Dichotomyctere fluviatilis,No,No,133,43,,,"Yes, 1",Freshwater puffer fish
Fish,Siluriformes,Siluridae,Phalacronotus,Phalacronotus bleekeri,Phalacronotus bleekeri,Phalacronotus bleekeri,No,Yes,Yes,134,49,2,,,
Fish,Tetraodontiformes,Tetraodontidae,Pao,Pao cochinchinensis,,Monotrete cochinchinensis,Pao cochinchinensis,No,No,137,43,,,No,Freshwater puffer fish
Fish,Cypriniformes,Cyprinidae,Rasbora,Rasbora caudimaculata,,Rasbora caudimaculata,No,No,Yes,138,9,,,,
Fish,Siluriformes,Bagridae,Pseudomystus,Pseudomystus siamensis,,Pseudomystus siamensis,No,No,No,139,1,,,No,
Fish,Siluriformes,Bagridae,Mystus,Mystus wolffii,Mystus wolffii,Mystus wolffii,No,Yes,Yes,140,1,1,,,
Fish,Cypriniformes,Cyprinidae,Barbonymus,Barbonymus schwanenfeldii,Barbonymus schwanenfeldii,Barbonymus schwanenfeldii,No,No,Yes,141,45,,,,
Fish,Cypriniformes,Cyprinidae,Barbonymus,Barbonymus altus,Barbonymus altus,Barbonymus altus,No,Yes,Yes,142,45,3,,,
Fish,Perciformes,Osphronemidae,Betta,Betta prima,,Betta prima,No,No,No,143,18,,,No,looks like an ornamental/aquarium fish
Fish,Siluriformes,Sisoridae,Bagarius,Bagarius yarrelli,Bagarius bagarius,Bagarius yarrelli,No,No,No,144,46,,,"Yes, 1? sketch",
Fish,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus waandersii,Osteochilus vittatus,Osteochilus waandersii,No,No,Yes,146,34,,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus microcephalus,Osteochilus vittatus,Osteochilus microcephalus,No,No,Yes,147,34,,,,
