Type,Order,Family,Genus,temp_checklist,speciescode,Genus.Species,Closest.Taxa,speciesName,Updated Taxonomy,In Master Database?,Genus in masterbase?,speciescode,SpeciesGroup,Number of them,,Find any papers?,Confirmed/Notes
Fish,Cypriniformes,Cobitidae,Syncrossus,,84,Syncrossus helodes,,Syncrossus helodes,No,No,No,84,32,,,No,
Fish,Cypriniformes,Cyprinidae,Systomus,,99,Systomus orphoides,Systomus clavatus,Systomus orphoides,No,No,Yes,99,34,,,,
Fish,Cypriniformes,Cyprinidae,Puntigrus,,103,Puntigrus partipentazona,,Systomus partipentazona,Puntigrus partipentazona,No,No,103,35,,,No,Maye also try Systoma sp.; looks like small aquarium fish
Fish,Tetraodontiformes,Tetraodontidae,Dichotomyctere,,132,Dichotomyctere ocellatus,,Tetraodon biocellatus,Dichotomyctere ocellatus,No,No,132,43,,,"No, but found one on another freshwater puffer fish species Leiodon cutcutia",Freshwater puffer fish
Fish,Tetraodontiformes,Tetraodontidae,Pao,,131,Pao cambodgiensis,,Tetraodon cambodgiensis,Pao cambodgiensis,No,No,131,43,,,No,Freshwater puffer fish
Fish,Tetraodontiformes,Tetraodontidae,Dichotomyctere,,133,Dichotomyctere fluviatilis,,Tetraodon fluviatilis,Dichotomyctere fluviatilis,No,No,133,43,,,"Yes, 1",Freshwater puffer fish
Fish,Cypriniformes,Cyprinidae,Thynnichthys,,128,Thynnichthys thynnoides,Thynnichthys thynnoides,Thynnichthys thynnoides,No,Yes,Yes,128,7,2,,,
Fish,Perciformes,Osphronemidae,Trichopodus,,52,Trichopodus microlepis,Trichopodus microlepis,Trichogaster microlepis,No,Yes,Yes,52,17,3,,,
Fish,Perciformes,Osphronemidae,Trichopodus,,51,Trichopodus pectoralis,Trichopodus pectoralis,Trichopodus pectoralis,No,No,No,51,17,,,No,
Fish,Perciformes,Osphronemidae,Trichopodus,,53,Trichopodus trichopterus,Trichopodus spp,Trichopodus trichopterus,No,No,No,53,17,,,"Found 1, but numbers don't quite add up (Influence of dietary lipid sources on growth, reproductive performance and fatty acid compositions of muscle and egg in three‐spot gourami (Trichopodus trichopterus …)",
Fish,Perciformes,Osphronemidae,Trichopsis,,57,Trichopsis pumila,Trichopsis spp,Trichopsis pumila,No,Yes,Yes,57,18,1,,,
Fish,Perciformes,Osphronemidae,Trichopsis,,56,Trichopsis schalleri,Trichopsis spp,Trichopsis schalleri,No,No,Yes,56,18,,,,
Fish,Perciformes,Osphronemidae,Trichopsis,,58,Trichopsis vittata,Trichopsis vittata,Trichopsis vittata,No,Yes,Yes,58,18,1,,,
Fish,Cypriniformes,Nemacheilidae,Tuberoschistura,,152,Tuberoschistura cambodgiensis,,Tuberoschistura cambodgiensis,No,No,No,152,27,,,No,
Fish,Siluriformes,Siluridae,Wallago,,149,Wallago attu,Wallago attu,Wallago attu,No,Yes,Yes,149,48,2,,,
Fish,Beloniformes,Belonidae,Xenentodon,,63,Xenentodon cancila,Xenentodon cancila,Xenentodon cancila,No,Yes,Yes,63,21,5,,,
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,,82,Yasuhikotakia lecontei,,Yasuhikotakia lecontei,No,No,No,82,32,,,Yes? Found 1 for botia,These are everywhere 
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,,85,Yasuhikotakia modesta,,Yasuhikotakia modesta,No,No,No,85,32,,,No,These used to be Botia modesta. Try searching nutritional compositon; aquarium fish
Fish,Cypriniformes,Cobitidae,Yasuhikotakia,,81,Yasuhikotakia morleti,,Yasuhikotakia morleti,No,No,No,81,32,,,No,
