Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Cyclocheilichthys lagleri,Cambodia,893.344103,431.6922815,151.811813,1103,8.099221242,3.913801283,1.376353699,NA,3.380000114,18.29999924,22.3371094,7.3515462,7.1860548,2655.784052,231.1366671,204.8927988,58.19911506,102.6994838,57.05495037,16.94414874,173.0577866,139.0971287,1.718239185,0.973714728,1.752696293,5.901742338,0.577841668,0.718922101,3,6
Cyprinus carpio,Cambodia,4.62505,2.797783,0.9675,1103,0.04193155,0.025365213,0.008771532,NA,3.380000114,120,24.2966667,1.1645,1.227,123.6248,8.345,109.2032515,53.50528186,648.34693,334.1483293,364.0046334,4793.289395,260.9812401,1.868974362,0.154238411,0.299268293,0.274721778,0.0208625,0.383169304,1,1
Danio albolineatus,Cambodia,27.545635,16.9961076,7.42,1103,0.249733772,0.154089824,0.067271079,NA,3.029999971,7.929999828,19.438229,2.551239,2.1760823,299.8994457,98.7306244,283.4185879,66.87852067,295.934642,188.4119916,150.050294,405.1427836,100.5579776,1.495248385,0.33791245,0.53075178,0.666443213,0.246826561,0.994451186,1,4
Datnioides undecimradiatus,Cambodia,41.80139,24.2113579,2.73,1103,0.378979057,0.219504605,0.02475068,NA,3.640000105,48.79999924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dichotomyctere fluviatilis,Cambodia,5.10211,2.2,1.5,1103,0.046256664,0.019945603,0.013599275,NA,3.410000086,17,16.8,1.0260907,1.058902,119.464923,57.1195866,407.1076949,77.38095238,735.8024003,387.1935269,376.6796049,700.2851803,70.00604596,1.292307692,0.135906053,0.25826878,0.265477607,0.142798967,1.428448052,2,2
Dichotomyctere ocellatus,Cambodia,0.2695,0.256025,0,1103,0.002443336,0.00232117,0,NA,3.380000114,8,17.2000873,1.031504,1.0708721,120.9006155,55.7153891,408.3663162,75.58101173,731.9409329,382.8655168,372.2065418,717.9344997,69.7902811,1.323083638,0.136623046,0.261188317,0.268668034,0.139288473,1.432864267,2,2
Doryichthys boaja,Cambodia,0.035,0,0,1103,0.000317316,0,0,NA,3.269999981,50.02000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Esomus longimanus,Cambodia,118.7301711,81.6008634,1.4,1103,1.076429475,0.739808372,0.012692656,NA,3.309999943,9.760000229,18.9528895,2.7281627,2.182222,296.208044,100,283.7126688,68.59112432,276.7430256,187.8818929,151.9202497,400,100.4537447,1.457914577,0.361346053,0.532249268,0.658240098,0.25,0.995483048,1,4
Esomus metallicus,Cambodia,479.0278049,275.7472687,29.946445,1103,4.342953807,2.499975237,0.271499955,NA,3.029999971,9.149999619,14.8,2.5910188,1.9680375,269.386745,143.2946151,275.7028766,87.83783784,291.3911701,208.3293636,167.0460809,279.1451721,103.3721532,1.138461538,0.343181298,0.480009146,0.598637211,0.358236538,0.967378514,1,3
Hampala macrolepidota,Cambodia,73.833619,30.5774169,20.843885,1103,0.669389112,0.277220461,0.188974479,NA,4.239999771,85.40000153,23.2561122,5.4564951,3.9389542,2094.799316,103.3596356,1342.88,55.89928311,138.3672094,104.0885421,21.48177138,386.9982684,21.22304301,1.788931708,0.722714583,0.960720537,4.655109591,0.258399089,4.711859649,3,5
